Municipio;Zona;Sessao;Local;Voto;InicioAguardando;TituloDigitado;InicioDigital;FimDigital;Habilitacao;Voto1;Voto2;Voto3;Voto4;Voto5;FimVotacao;SucessoDigital;TentativasDigital;TeclasIndevidas;TempoTotal;TempoVotacao;TempoOcioso;TempoHabilitacao;TempoVoto1;TempoVoto2;TempoVoto3;TempoVoto4;TempoVoto5;ClassTempoTotal;ClassTempoVotacao;ClassTempoOcioso;ClassTempoHabilitacao;ClassTempoVoto1;ClassTempoVoto2;ClassTempoVoto3;ClassTempoVoto4;ClassTempoVoto5;
28657;16;62;1139;179;2022-10-02 14:49:48;2022-10-02 14:50:17;2022-10-02 14:50:18;2022-10-02 14:50:54;2022-10-02 14:51:11;2022-10-02 14:51:27;2022-10-02 14:51:36;2022-10-02 14:51:45;2022-10-02 14:51:51;2022-10-02 14:51:58;2022-10-02 14:51:59;False;4;0;131;48;83;54;16;9;9;6;7;MA;MB;A1;A1;MA;MB;MB;MB;MA;
28657;16;62;1139;180;2022-10-02 14:52:01;2022-10-02 14:52:26;2022-10-02 14:52:30;2022-10-02 14:52:49;2022-10-02 14:52:52;2022-10-02 14:53:06;2022-10-02 14:53:13;2022-10-02 14:53:20;2022-10-02 14:53:25;2022-10-02 14:53:31;2022-10-02 14:53:32;True;1;0;91;40;51;26;14;7;7;5;6;B1;B1;MB;MB;MA;B1;MB;MB;MA;
28657;16;62;1139;181;2022-10-02 14:53:34;2022-10-02 14:54:25;2022-10-02 14:54:29;2022-10-02 14:55:04;2022-10-02 14:55:22;2022-10-02 14:55:35;2022-10-02 14:55:43;2022-10-02 14:55:50;2022-10-02 14:55:58;2022-10-02 14:56:04;2022-10-02 14:56:06;False;4;0;152;44;108;57;13;8;7;8;6;MA;B1;A2;A2;MA;B1;MB;MB;MA;
28657;16;62;1139;182;2022-10-02 14:56:07;2022-10-02 14:56:31;2022-10-02 14:56:36;2022-10-02 14:57:10;2022-10-02 14:57:28;2022-10-02 14:57:38;2022-10-02 14:57:45;2022-10-02 14:57:50;2022-10-02 14:57:59;2022-10-02 14:58:03;2022-10-02 14:58:05;False;4;1;118;37;81;57;10;7;5;9;4;MB;B1;A1;A2;MA;B1;B1;MA;MA;
28657;16;62;1139;183;2022-10-02 14:58:06;2022-10-02 14:58:27;2022-10-02 14:58:29;2022-10-02 14:58:35;2022-10-02 14:58:37;2022-10-02 14:58:47;2022-10-02 14:58:53;2022-10-02 14:58:57;2022-10-02 14:59:03;2022-10-02 14:59:07;2022-10-02 14:59:09;True;0;1;63;32;31;10;10;6;4;6;4;B2;B1;B2;B2;MA;B1;B1;MB;MA;
28657;16;62;1139;184;2022-10-02 14:59:10;2022-10-02 14:59:33;2022-10-02 14:59:35;2022-10-02 15:00:07;2022-10-02 15:00:09;2022-10-02 15:00:24;2022-10-02 15:00:34;2022-10-02 15:00:42;2022-10-02 15:00:50;2022-10-02 15:00:56;2022-10-02 15:00:58;True;2;0;108;49;59;36;15;10;8;8;6;MB;MB;MB;MA;MA;MB;MB;MB;MA;
28657;16;62;1139;185;2022-10-02 15:01:00;2022-10-02 15:01:36;2022-10-02 15:01:38;2022-10-02 15:01:52;2022-10-02 15:01:54;2022-10-02 15:02:06;2022-10-02 15:02:15;2022-10-02 15:02:22;2022-10-02 15:02:26;2022-10-02 15:02:29;2022-10-02 15:02:31;True;1;0;91;37;54;18;12;9;7;4;3;B1;B1;MB;B1;MA;MB;MB;B1;MA;
28657;16;62;1139;186;2022-10-02 15:02:33;2022-10-02 15:02:58;2022-10-02 15:02:59;2022-10-02 15:03:31;2022-10-02 15:03:32;2022-10-02 15:03:52;2022-10-02 15:04:13;2022-10-02 15:04:23;2022-10-02 15:04:28;2022-10-02 15:04:34;2022-10-02 15:04:36;True;3;0;123;64;59;34;20;21;10;5;6;MB;MB;MB;MB;MA;A1;MB;MB;MA;
28657;16;62;1139;187;2022-10-02 15:04:37;2022-10-02 15:04:57;2022-10-02 15:05:00;2022-10-02 15:05:06;2022-10-02 15:05:08;2022-10-02 15:05:31;2022-10-02 15:05:37;2022-10-02 15:05:46;2022-10-02 15:05:50;2022-10-02 15:05:57;2022-10-02 15:05:58;True;0;1;81;50;31;11;23;6;9;4;7;B1;MB;B2;B2;MA;B1;MB;B1;MA;
28657;16;62;1139;188;2022-10-02 15:06:00;2022-10-02 15:06:25;2022-10-02 15:06:28;2022-10-02 15:06:46;2022-10-02 15:06:48;2022-10-02 15:07:08;2022-10-02 15:07:30;2022-10-02 15:07:58;2022-10-02 15:08:22;2022-10-02 15:08:31;2022-10-02 15:08:33;True;1;6;153;105;48;23;20;22;28;24;9;MA;A2;B1;B1;MA;A1;A2;A2;MA;
